"What is your profession?","cleaned_experience","Q01: Errors in Project planning/Lack of Proper Feasibility Study?","Q02: Corruption by Client's Representative?","Q03: Lack of Competence of The Engineers Team to Accord Approval/ Decision?","Q04: Inter Departmental Conflict?","Q05: Lack of Capacity of the Contractor?","Q06: Flawed Contracts/Contract Package?","Q07: Lack of Decision from the Top Management?","Q08: Contactors Lack of Understanding of the Work Scope (in BOQ) and Poor Quoted Rate?","Q09: Incorrect Project Cost Estimates by Consultants?","Q10: Unusual Increase in Material Price?","Q11: Constructability Issues Not Properly Addressed in Design?","Q12: Lack of Site Access to Initiate Work (Contractor)?","Q13: Errors or Lack of Clarity in Design/Specification?","Q14: Poor Work by the Subcontractors?","Q15: Court Cases?","Q16: Land Disputes?","Q17: Change in Masterplan after Start of Work?","Q18: Inadequate Allocation of Funds?","Q19: Corruption in Billing Process?","Q20: Lack of Transparency?","Q21: Low Profit Margin?","Q22: Import/Custom/LC Problem?","Q23: Security Problem?","Q24: Inflation?","Q25: Frequent Change in Management?","Q26: Inability to Provide Construction Yard to The Contractor?","Q27: Unexpected Geotechnical Condition?","Q28: Lack of Construction Safety Measures?","Q29: Delay in Rehabilitation and Relocation?","Q30: Delay in Approval of RDPP (Revised Development Project Proposal)?"
"Consultant",20,"Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Disagree","Disagree","Agree","Disagree","Agree","Strongly Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree"
"Contractor/Quality Control Engineer",13,"Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Strongly Agree","Neutral","Neutral","Disagree","Neutral","Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree"
"Academician/Researcher",1,"Strongly Agree","Agree","Disagree","Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Disagree","Agree","Agree","Neutral","Agree","Agree","Disagree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral"
"Consultant",30,"Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Agree","Disagree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"Implementing Agency/ Developing Authority",7,"Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"Consultant",2,"Strongly Agree","Agree","Neutral","Neutral","Agree","Agree","Strongly agree","Strongly Agree","Neutral","Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Disagree","Disagree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"Consultant",1,"Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Neutral","Neutral","Neutral","Agree","Strongly Agree","Agree","Agree","Disagree","Strongly Agree","Neutral","Neutral","Agree","Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Agree","Disagree","Neutral","Strongly disagree","Agree","Disagree","Strongly Agree"
"Consultant",12,"Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Agree"
"Academician/Researcher",2,"Neutral","Neutral","Neutral","Agree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Neutral","Strongly disagree","Strongly Agree","Strongly disagree","Agree","Neutral","Neutral","Agree","Agree","Agree"
"Consultant",19,"Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"Academician/Researcher",2,"Neutral","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Strongly Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Strongly disagree","Neutral","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Neutral","Neutral"
"Implementing Agency/ Developing Authority",5,"Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"Consultant",3,"Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree"
"Consultant",2,"Strongly Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Neutral","Agree","Agree"
"Others",10,"Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Agree","Strongly agree","Neutral","Neutral","Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"Implementing Agency/ Developing Authority",11,"Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Strongly agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree"
"Others",1,"Strongly Agree","Agree","Neutral","Neutral","Neutral","Disagree","Agree","Disagree","Neutral","Agree","Neutral","Disagree","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Neutral"
"Academician/Researcher",9,"Strongly Agree","Strongly Agree","Neutral","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Strongly disagree","Disagree","Agree","Strongly disagree","Agree","Agree","Disagree","Strongly disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree"
"Implementing Agency/ Developing Authority",7,"Agree","Agree","Agree","Neutral","Strongly Agree","Neutral","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Strongly Agree","Agree"
"Consultant",12,"Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Disagree","Disagree","Strongly Agree","Strongly disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Neutral","Neutral","Neutral","Strongly disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Neutral"
"Consultant",20,"Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree"
"Others",1,"Agree","Neutral","Disagree","Strongly Agree","Agree","Agree","Neutral","Agree","Disagree","Agree","Strongly Agree","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Strongly Agree","Neutral","Neutral","Neutral"
"Implementing Agency/ Developing Authority",5,"Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Disagree","Agree","Agree","Agree","Neutral","Neutral","Strongly Agree","Agree"
